[rosmaster.main][INFO] 2024-03-28 14:57:49,461: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-28 14:57:49,463: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-28 14:57:49,472: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-03-28 14:57:49,474: Started XML-RPC server [http://526f87885b72:11311/]
[rosmaster.master][INFO] 2024-03-28 14:57:49,475: Master initialized: port[11311], uri[http://526f87885b72:11311/]
[xmlrpc][INFO] 2024-03-28 14:57:49,475: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-28 14:57:49,601: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-28 14:57:49,606: +PARAM [/roslaunch/uris/host_526f87885b72__40987] by /roslaunch
[rosmaster.master][INFO] 2024-03-28 14:57:49,756: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-28 14:57:49,756: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-28 14:57:49,844: +SERVICE [/rosout/get_loggers] /rosout http://526f87885b72:39949/
[rosmaster.master][INFO] 2024-03-28 14:57:49,848: +SERVICE [/rosout/set_logger_level] /rosout http://526f87885b72:39949/
[rosmaster.master][INFO] 2024-03-28 14:57:49,858: +PUB [/rosout_agg] /rosout http://526f87885b72:39949/
[rosmaster.master][INFO] 2024-03-28 14:57:49,866: +SUB [/rosout] /rosout http://526f87885b72:39949/
[rosmaster.master][INFO] 2024-03-28 14:58:04,043: -PUB [/rosout_agg] /rosout http://526f87885b72:39949/
[rosmaster.master][INFO] 2024-03-28 14:58:04,047: -SUB [/rosout] /rosout http://526f87885b72:39949/
[rosmaster.master][INFO] 2024-03-28 14:58:04,049: -SERVICE [/rosout/get_loggers] /rosout rosrpc://526f87885b72:43189
[rosmaster.master][INFO] 2024-03-28 14:58:04,051: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://526f87885b72:43189
[rosmaster.main][INFO] 2024-03-28 14:58:04,210: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-03-28 14:58:04,210: stopping master...
[rospy.core][INFO] 2024-03-28 14:58:04,212: signal_shutdown [atexit]
